date,XU100
01.04.2008,40674.17
02.04.2008,40985.2
03.04.2008,40160.13
04.04.2008,41362.71
07.04.2008,42277.15
08.04.2008,42170.18
09.04.2008,42900.49
10.04.2008,42096.46
11.04.2008,41980.11
14.04.2008,41747.3
15.04.2008,41584.13
16.04.2008,41555.97
17.04.2008,41601.82
18.04.2008,42641.06
21.04.2008,43065.24
22.04.2008,42827.71
23.04.2008,0
24.04.2008,43190.25
25.04.2008,43593.8
28.04.2008,43613.96
29.04.2008,43054.48
30.04.2008,43468.12
01.05.2008,42664.37
02.05.2008,43425.85
05.05.2008,43457.86
06.05.2008,42896.17
07.05.2008,43272.46
08.05.2008,42310.37
09.05.2008,42034.7
12.05.2008,41638.52
13.05.2008,41831.11
14.05.2008,42522.74
15.05.2008,42624.17
16.05.2008,42498.82
19.05.2008,0
20.05.2008,41296.5
21.05.2008,41011.25
22.05.2008,40752.45
23.05.2008,39960.99
26.05.2008,39439.35
27.05.2008,40189.29
28.05.2008,39384.87
29.05.2008,39086.47
30.05.2008,39969.63
02.06.2008,40121.15
03.06.2008,40451.73
04.06.2008,39832.1
05.06.2008,40463.96
06.06.2008,39645.54
09.06.2008,39061.71
10.06.2008,38655.1
11.06.2008,38238.42
12.06.2008,38593.64
13.06.2008,38295.72
16.06.2008,38465.62
17.06.2008,38724.11
18.06.2008,38136.78
19.06.2008,38006.96
20.06.2008,37912.85
23.06.2008,37583.67
24.06.2008,37275.88
25.06.2008,37572.64
26.06.2008,36578.95
27.06.2008,35829.4
30.06.2008,35089.53
01.07.2008,33208.24
02.07.2008,33566.4
03.07.2008,33919.76
04.07.2008,34300.37
07.07.2008,35010.04
08.07.2008,34894.68
09.07.2008,35603.27
10.07.2008,35574.64
11.07.2008,35006.46
14.07.2008,35826.27
15.07.2008,35254.97
16.07.2008,36374.36
17.07.2008,37695.26
18.07.2008,37946.57
21.07.2008,38703.75
22.07.2008,37616.17
23.07.2008,38555.56
24.07.2008,38944.38
25.07.2008,37556.95
28.07.2008,38120.94
29.07.2008,39153.74
30.07.2008,41342.3
31.07.2008,42200.75
01.08.2008,42984.66
04.08.2008,43259.37
05.08.2008,42237.74
06.08.2008,42075.85
07.08.2008,41627.66
08.08.2008,40949.91
11.08.2008,41733.27
12.08.2008,41461.84
13.08.2008,41253.85
14.08.2008,41710.52
15.08.2008,42194.42
18.08.2008,41946.9
19.08.2008,40488.11
20.08.2008,39801.34
21.08.2008,39569.58
22.08.2008,40894.27
25.08.2008,40691.5
26.08.2008,40097.46
27.08.2008,39576.03
28.08.2008,40149.97
29.08.2008,39844.48
01.09.2008,39456.77
02.09.2008,40437.07
03.09.2008,40328.52
04.09.2008,39556.37
05.09.2008,39115.63
08.09.2008,40517.08
09.09.2008,40124.57
10.09.2008,39294.96
11.09.2008,37388.13
12.09.2008,37033.87
15.09.2008,35081.44
16.09.2008,33736.35
17.09.2008,32727.57
18.09.2008,32216.43
19.09.2008,36370.16
22.09.2008,36183.62
23.09.2008,35454.17
24.09.2008,35177.11
25.09.2008,36361.84
26.09.2008,36556.61
29.09.2008,36051.3
30.09.2008,0
01.10.2008,0
02.10.2008,0
03.10.2008,34553
06.10.2008,31574.74
07.10.2008,31561.87
08.10.2008,30772.63
09.10.2008,30878.71
10.10.2008,28495.93
13.10.2008,28961.94
14.10.2008,30536.15
15.10.2008,29443.71
16.10.2008,27600.71
17.10.2008,25870.17
20.10.2008,26763.55
21.10.2008,26723.3
22.10.2008,25624.27
23.10.2008,25040.81
24.10.2008,24176.68
27.10.2008,24336.73
28.10.2008,24895.16
29.10.2008,0
30.10.2008,26733.49
31.10.2008,27832.93
03.11.2008,27987.65
04.11.2008,29343.35
05.11.2008,27855.92
06.11.2008,27373.73
07.11.2008,26648.17
10.11.2008,26797.9
11.11.2008,25889.18
12.11.2008,25342.5
13.11.2008,25099.98
14.11.2008,25425.26
17.11.2008,24046.5
18.11.2008,23495.05
19.11.2008,21929.27
20.11.2008,21228.27
21.11.2008,21965.96
24.11.2008,24137.02
25.11.2008,24424.59
26.11.2008,24408.58
27.11.2008,25383.43
28.11.2008,25714.98
01.12.2008,24331.78
02.12.2008,24425.48
03.12.2008,23936.73
04.12.2008,24670.97
05.12.2008,24034.7
08.12.2008,0
09.12.2008,0
10.12.2008,0
11.12.2008,0
12.12.2008,24936.93
15.12.2008,25598.47
16.12.2008,26395.82
17.12.2008,26765.07
18.12.2008,26395.5
19.12.2008,26205.4
22.12.2008,26199
23.12.2008,26294.15
24.12.2008,26054.96
25.12.2008,26059.14
26.12.2008,26498.96
29.12.2008,26423.64
30.12.2008,26411.09
31.12.2008,26864.07
01.01.2009,0
02.01.2009,27005.63
05.01.2009,27988.65
06.01.2009,28709.41
07.01.2009,27892.65
08.01.2009,26210.37
09.01.2009,26470.08
12.01.2009,25708.56
13.01.2009,26108.72
14.01.2009,25055.71
15.01.2009,25072.3
16.01.2009,25630.96
19.01.2009,25055.88
20.01.2009,24714.74
21.01.2009,24736.12
22.01.2009,24641.93
23.01.2009,24781.83
26.01.2009,25970
27.01.2009,25798.26
28.01.2009,26705.62
29.01.2009,26162.99
30.01.2009,25934.37
02.02.2009,25270.81
03.02.2009,25659.9
04.02.2009,26141.06
05.02.2009,25774.21
06.02.2009,26735.21
09.02.2009,27040.47
10.02.2009,25966.12
11.02.2009,25398.42
12.02.2009,25023.08
13.02.2009,25199.53
16.02.2009,24911.52
17.02.2009,23907.55
18.02.2009,23844.72
19.02.2009,24439.91
20.02.2009,23579.48
23.02.2009,23991.03
24.02.2009,24032.46
25.02.2009,24152.34
26.02.2009,24168.57
27.02.2009,24026.59
02.03.2009,23699.93
03.03.2009,23751.96
04.03.2009,23940.66
05.03.2009,23035.95
06.03.2009,23220.02
09.03.2009,23054.97
10.03.2009,23315.43
11.03.2009,23282.57
12.03.2009,23539.49
13.03.2009,23615.25
16.03.2009,23620.31
17.03.2009,23452.76
18.03.2009,23497.17
19.03.2009,23968.83
20.03.2009,24038.89
23.03.2009,24919.26
24.03.2009,25001.59
25.03.2009,25536.39
26.03.2009,25409.83
27.03.2009,25697.25
30.03.2009,25143.61
31.03.2009,25764.38
01.04.2009,25943.57
02.04.2009,26771.17
03.04.2009,26631.06
06.04.2009,26650.66
07.04.2009,26377.63
08.04.2009,27653.58
09.04.2009,28546.46
10.04.2009,28838.28
13.04.2009,28446.99
14.04.2009,28160.8
15.04.2009,28324.29
16.04.2009,29523.15
17.04.2009,29445.96
20.04.2009,28548.43
21.04.2009,28678.57
22.04.2009,28956.83
23.04.2009,0
24.04.2009,29675.54
27.04.2009,29552.26
28.04.2009,29189.01
29.04.2009,30746.39
30.04.2009,31651.81
01.05.2009,0
04.05.2009,32170.71
05.05.2009,33014.23
06.05.2009,33716.92
07.05.2009,32842.61
08.05.2009,32805.72
11.05.2009,32203.06
12.05.2009,33043.28
13.05.2009,32828.9
14.05.2009,33094.92
15.05.2009,33484.52
18.05.2009,33666.08
19.05.2009,0
20.05.2009,35139.7
21.05.2009,34720.55
22.05.2009,35014.5
25.05.2009,35407.68
26.05.2009,34860.56
27.05.2009,35168.73
28.05.2009,35021.01
29.05.2009,35002.99
01.06.2009,36001.65
02.06.2009,35722.2
03.06.2009,34932.23
04.06.2009,34268.89
05.06.2009,34750.19
08.06.2009,33655.59
09.06.2009,33806.65
10.06.2009,34389.34
11.06.2009,34723.84
12.06.2009,34816.71
15.06.2009,34690.77
16.06.2009,34537.04
17.06.2009,34595.39
18.06.2009,35715.56
19.06.2009,35819.93
22.06.2009,35407.2
23.06.2009,34909.06
24.06.2009,35758.67
25.06.2009,36327.65
26.06.2009,36755.9
29.06.2009,36841.11
30.06.2009,36949.2
01.07.2009,37245.86
02.07.2009,37038.21
03.07.2009,36797.55
06.07.2009,36758.82
